B2	スキルシート
B5	技術者名
G5	YK
Z5	性別
AE5	女性
B6	年齢
G6	36歳
Z6	最寄駅
AE6	小田急小田原線　新百合ヶ丘駅
B7	資格
G7	Webクリエイター能力認定試験エキスパート 損害保険募集人一般試験　基礎単位・火災保険単位 銀行業務能力検定試験　税務3級 2級ファイナンシャル・プランニング技能士（個人資産相談業務） 銀行業務検定試験　財務3級
Z7	学歴
AE7	新潟大学　人文学部　行動科学課程　行動基礎論履修コース　卒業
B9	得意分野
G9	金融業務、ワークフローシステム、業務システム
B10	得意技術
G10	自動テスト作成、テスト仕様書作成、テスト実施
B11	得意業務
G11	テスト、ドキュメント作成
B13	自己PR
G13	これまでの案件で、詳細設計、製造、テスト、保守業務に携わりました。 設計書や既存のソースコードを読み解きながら仕様の理解を深め、自ら調査・質問を重ねることで着実に知識を積み上げてきました。 Java開発案件の製造フェーズでは、他の機能のソースコードを参照しながら構成を理解し、自分で設計を補完しつつ、最終的には1つの機能を一人で製造できるまでに至りました。 また、仕様が曖昧な部分や技術的な課題に直面した際も、関係者と積極的にコミュニケーションを取りながら、解決に向けて前向きに取り組む姿勢を大切にしています。 今後は、これまでの経験を土台にしながらプログラミングスキルをさらに深め、自走して開発を進められるエンジニアとして、より大きな価値を発揮していきたいと考えています。
B15	＜業務経歴＞
B16	No
C16	期間
L16	業務内容
AH16	役割 規模
AN16	言語/OS/環境
AW16	担当工程
AW17	要件定義
AX17	基本設計
B18	1
C18	2025-02-01 00:00:00
G18	－
H18	2025-08-01 00:00:00
L18	◆官公庁向けシステム保守
AH18	メンバー_x000D_ 保守_x000D_ 8名
AN18	JAVA8 Junit4 Oracle Eclipse GitLab Visual Studio SQL Developer TortoiseGit Windows10
L19	【担当業務】 ・保守業務（エラーログ解析／リグレッションテスト） ・障害対応（パッチ適用等／・設計書修正／コーディング／単体テスト作成・実施）  【取り組みや姿勢】 ・保守チームには保守しているシステムの開発に携わった方がいなかったため、設計書やソースコードを修正する際には、積極的に開発チームの人に声をかけて自分からコミュニケーションをとりにいき、調べても分からないものは仕様や規約について質問したりしながら、能動的に業務を行った。 ・専門用語や作業するうえで分からないことは調べて自分でまとめたり、作業方法が確立していないものについてもただ質問するだけにせず、自分の意見を伝えて作業方法の提案を行うなど積極的に業務に従事した。 ・単純な作業については、コパイロットを使用して簡単なバッチを作成して業務効率化を行う等、少しでも業務がやりやすくなるように心がけた。
C22	7
B23	2
C23	2024-01-01 00:00:00
G23	－
H23	2025-01-01 00:00:00
L23	◆官公庁向けシステム刷新開発
AH23	メンバー PG 28名
AN23	JAVA11 Junit4 HiRDB Eclipse GitLab Visual Studio TortoiseGit Windows11
L24	【担当業務】 ・詳細設計書執筆／修正 ・コーディング／単体テスト作成・実施  【取り組みや姿勢】 ・詳細設計書の執筆では、実際の業務の流れを理解し、基本設計書に記載されていない部分も考慮して執筆する必要があったため、関連する設計書を自分で探して読み込み正しく設計できるよう努めた。また、設計書読み込みだけで不足する部分は、自分から有識者へ質問して正しく理解できるようにした。 ・コーディングでは、初めての開発現場かつ、初めて触る言語だったため、分からない事を能動的に調べたり質問して技術向上に努めた。また他の機能のソースコードの流用をしつつも１人で１機能を製造できるようになり、単体テスト作成ができるまで成長することができた。 ・コーディング技術とは別に専門的な知識が必要だったため、自主的にネット等で調べて勉強する等、仕事に活かせるよう努力した。 ・資材や設定等が完全に定まっていない状態で開発がスタートしたため、テスト実行時のコンパイルエラーの解消や、テスト実行の方法等、周囲と積極的にコミュニケーションをとって、テスト実行ができるようにした。
C27	13
B28	3
C28	2022-12-01 00:00:00
G28	－
H28	2023-12-01 00:00:00
L28	◆勤怠管理システム　自動テスト作成／保守／実施
AH28	メンバー テスター 2名
AN28	HTML SQL Server Mac Monterey/Sonoma Windows11 Windows Server Ranorex SKYATT Jenkins Hyper-V Android Studio Xcode Appium
L29	【担当業務】 ・月１回の自動テスト実施 ・Ranorex／SKYATTでの自動テスト保守業務 ・自動テスト概要設計書作成／Ranorexでの自動テスト作成  【取り組みや姿勢】 ・アサイン当初から自動テストの結果でNGが出た際、問題の切り分けをするために、原因について自分で調べてから指導者へ報告することで調べる力をつけ、自己解決できることを増やして自動テスト業務に早く習熟できるよう努めた。 ・自動テスト業務と並行し、テスト設計を自分からやりたいと願い出て、結合テストのテスト設計をさせていただいた。概要設計書の作成から、テストケースの作成までフォローを受けながらではあるが、やりきることができた。向上心を強く持ち、業務の中でしかで得られない学びを少しでも多く得ようと、前向きに仕事に取り組んだ。 ・自動テスト業務のほかに、Ranorex研修の講師や、自動テストで使用するＰＣ、仮想環境の環境構築等、新たに指示された業務についても積極的に受け入れ、学びに繋げられるよう努めた。 ・月１回の自動テストで、作業に抜け漏れが発生しないよう、また複数環境で同時に作業を行ってもスムーズに実施ができるよう、自分で作業のチェックシートを作成し、業務効率化に努めた。
C32	13
B33	4
C33	2021-10-01 00:00:00
G33	－
H33	2022-11-30 00:00:00
L33	◆中古車市場 DX化PJ テスター
AH33	メンバー テスター 3名
AN33	PHP Laravel HTML Vue.js Linux MySQL A5:SQL Visual Studio Code AWS
